path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country		region	language
C:\search\corpora\2015\12\				Ульяновская правда - Ульяновцы встретятся с известным писателем Евгением Анташкевичем	02.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20608	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновец встречаться с известный писатель евгений анташкевич

C:\search\corpora\2015\12\				Ульяновская правда - В Санкт-Петербурге открылась выставка о жизни Николая Карамзина	02.12.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20575	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - в санкт-петербург открываться выставка о жизнь николай карамзин

C:\search\corpora\2015\11\				Ульяновская правда - Любовь Успенская начала концерт с минуты молчания	27.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20451	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - любовь успенская начинать концерт с минута молчание

C:\search\corpora\2015\11\				Ульяновская правда - Уникальная фотография напомнила о дружбе ульяновцев с Михаилом Шолоховым	27.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20448	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - уникальный фотография напоминать о дружба ульяновец с михаил шолохов

C:\search\corpora\2015\11\				Азиза осиротела 	27.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20440	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	азиза осиротеть 

C:\search\corpora\2015\11\				Ульяновская правда - В Ульяновск приедет Тутта Ларсен	26.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20402	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - в ульяновск приезжать тутта ларсен

C:\search\corpora\2015\11\				Ульяновская правда - Эти выдающиеся мамы: ТОП-5 самых знаменитых матерей нашего края	25.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20362	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - этот выдающийся мама: топ-5 самый знаменитый мать наш край

C:\search\corpora\2015\11\				Ульяновская правда - К юбилею Николая Карамзина Министерство культуры РФ проведет конкурс	24.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20303	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - к юбилей николай карамзин министерство культура рф проводить конкурс

C:\search\corpora\2015\11\				Ульяновская правда - Главный телегаишник России простудился в Ульяновске	20.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20228	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - главный телегаишник россия простуживаться в ульяновск

C:\search\corpora\2015\11\				Ульяновская правда - Сергей Лемох выбирает правильную дорогу	17.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20099	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - сергей лемоха выбирать правильный дорога

C:\search\corpora\2015\11\				Ульяновская правда - "Ульяновская правда": Лидер «Наутилуса» готов навечно поселиться в Ульяновске	13.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20025	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - "ульяновский правда": лидер «наутилус» готовый навечно поселяться в ульяновск

C:\search\corpora\2015\11\				Ульяновская правда - Позвали Евгения Евтушенко на день рождения Карамзина	12.11.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-20016	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - позвать евгений евтушенко на день рождение карамзин

