uid	sex
72965290	1
73749806	2
73855458	2
73881158	2
74143647	1
74365142	1
74479208	2
74512625	1
75120413	1
75368698	1
75911704	2
76240552	1
76872629	1
77089097	2
77207917	1
77226179	2
78213842	2
78293921	2
78799097	1
79194543	1
79275093	2
79294468	1
7930536	2
79337235	1
79524395	1
79614218	2
800983	1
80102658	1
80237939	1
80309757	1
80362433	1
80547094	1
80711948	2
80840178	1
81037863	1
81414503	2
81576124	1
8160422	1
8182534	1
81980698	1
82309118	2
82351734	2
823681	2
82560669	1
82753044	1
82944435	1
83433779	1
83878729	1
83988513	2
83997642	2
84044394	1
84446521	1
84864234	2
84874707	1
85073108	2
85214785	1
8530869	1
85583519	2
85757120	2
85953906	1
86221857	2
86260976	2
86443302	2
86553414	2
86760346	2
86787218	2
87013090	1
87754241	1
87866454	1
88003228	1
88400715	1
88595183	2
8890988	1
89707691	2
90051002	1
90103780	1
90195337	1
90771099	1
90938602	1
91158203	2
91950579	1
92178037	1
92282178	2
92519802	1
92631953	1
92723665	2
93219185	1
93479205	2
93520448	1
94301	2
94481512	1
94502943	1
9463958	1
94986974	1
95352186	1
95939004	1
95972173	1
96331010	2
96589466	1
96597571	2
96668533	2
970901	2
97216294	2
97245112	1
97424166	1
97655495	2
97861822	2
98138717	1
98258525	1
98368786	2
98390492	2
98630952	1
98736202	2
98749666	1
98792656	1
99017100	1
99219961	2
99416143	1
99618496	2
99642987	2
99666366	2
99882094	2
