uid	id	country	city	name	faculty	faculty_name	chair	chair_name	graduation
167629320	0	0	0	0	0	0	0	0	0
167645908	0	0	0	0	0	0	0	0	0
167853435	855	1	8171	ТГПУ им. Толстого	2123865	Естественных наук	1750808	Социокультурного сервиса, географии и туризма	2009
16858638	1070	1	146	РГСУ	1683324	Искусств и социокультурной деятельности	1730858	Искусств и художественного творчества	2016
170197638	243	1	8171	МГМСУ	978	Лечебный	0	0	0
170624127	0	0	0	0	0	0	0	0	0
170947213	0	0	0	0	0	0	0	0	0
172328493	0	0	0	0	0	0	0	0	0
172403273	0	0	0	0	0	0	0	0	0
172760484	0	0	0	0	0	0	0	0	0
173672384	856	1	8171	ТулГУ	1285008	Институт физической культуры, спорта и туризма	40592	Физического воспитания и спорта	0
173939616	0	0	0	0	0	0	0	0	0
174177083	0	0	0	0	0	0	0	0	0
174385156	0	0	0	0	0	0	0	0	0
174707148	0	0	0	0	0	0	0	0	0
175490408	0	0	0	0	0	0	0	0	0
176654052	0	0	0	0	0	0	0	0	0
176661115	0	0	0	0	0	0	0	0	0
176796181	0	0	0	0	0	0	0	0	0
176879776	0	0	0	0	0	0	0	0	0
177603979	707	1	146	ОГИК	160948	Социально-культурной деятельности	1289865	Режиссуры театрализованных представлений	2015
178433037	0	0	0	0	0	0	0	0	0
178994298	0	0	0	0	0	0	0	0	0
179795601	60417	1	8171	ТФ РАНХиГС (бывш. ОРАГС ТФ)	191043	Менеджмент организации	0	0	0
179808580	0	0	0	0	0	0	0	0	0
180249717	0	0	0	0	0	0	0	0	0
180515233	0	0	0	0	0	0	0	0	0
180802521	0	0	0	0	0	0	0	0	0
183049474	0	0	0	0	0	0	0	0	0
183294593	0	0	0	0	0	0	0	0	0
183616542	247	1	1	МГСУ НИУ (МГСУ-МИСИ)	1019	Институт инженерно-экологического строительства и механизации (Водоснабжения и водоотведения, Механизации и автоматизации строительства, Теплогазоснабжения и вентиляции)	1907098	Механизации строительства (Механического оборудования, деталей машин и технологии металлов)	2016
184193388	0	0	0	0	0	0	0	0	0
185288764	0	0	0	0	0	0	0	0	0
185738690	0	0	0	0	0	0	0	0	0
189129512	0	0	0	0	0	0	0	0	0
189248897	0	0	0	0	0	0	0	0	0
189262774	0	0	0	0	0	0	0	0	0
189597128	0	0	0	0	0	0	0	0	0
190349471	304	1	1	НИУ МЭИ (МЭИ ТУ)	1327	Институт радиотехники и электроники	1808235	Промышленной электроники	2017
190736199	0	0	0	0	0	0	0	0	0
190939139	0	0	0	0	0	0	0	0	0
191557653	0	0	0	0	0	0	0	0	0
1919512	856	1	146	ТулГУ	101653	Институт прикладной математики и компьютерных наук (бывш. Кибернетики, Механико-математический)	159306	Автоматизированных информационных и управляющих систем	2014
19426810	856	1	1108923	ТулГУ	104418	Институт права и управления (бывш. Экономики и менеджмента, Юридический)	69310	Финансов и менеджмента	2014
196086008	0	0	0	0	0	0	0	0	0
196319356	0	0	0	0	0	0	0	0	0
197307490	0	0	0	0	0	0	0	0	0
197475876	0	0	0	0	0	0	0	0	0
197575945	0	0	0	0	0	0	0	0	0
197902150	3283	1	8171	Финансовый университет при Правительстве РФ (ТФ) (бывш. ВЗФЭИ)	7586	Менеджмент организации	441060	Менеджмента и маркетинга 	2019
198670244	0	0	0	0	0	0	0	0	0
198738620	0	0	0	0	0	0	0	0	0
198832746	0	0	0	0	0	0	0	0	0
200145181	0	0	0	0	0	0	0	0	0
204583622	2	1	1	МГУ	23	Вычислительной математики и кибернетики	305	Общей математики	0
205033203	856	1	146	ТулГУ	138902	Медицинский институт (Лечебный)	0	0	0
207525610	855	1	146	ТГПУ им. Толстого	120635	Математики, физики и информатики	1750817	Алгебры, математического анализа и геометрии	0
2125628	855	1	146	ТГПУ им. Толстого	228976	Психологии	241091	Практической психологии и педагогики  	2008
214237435	0	0	0	0	0	0	0	0	0
215125327	0	0	0	0	0	0	0	0	0
216472077	0	0	0	0	0	0	0	0	0
216759630	0	0	0	0	0	0	0	0	0
216918265	3163	1	146	РЭУ им. Г. В. Плеханова (ТФ)	232635	Мировая экономика	0	0	2004
216978963	0	0	0	0	0	0	0	0	0
219288203	0	0	0	0	0	0	0	0	0
219754935	707	1	96	ОГИК	38293	Художественного творчества	1289869	Режиссуры и мастерства актера	1993
223377973	0	0	0	0	0	0	0	0	0
22387246	3283	1	1	Финансовый университет при Правительстве РФ (ТФ) (бывш. ВЗФЭИ)	123089	Финансы и кредит	1201577	Финансов и кредита	2017
22447129	856	1	146	ТулГУ	12559	Институт горного дела и строительства (бывш. Горно-строительный)	216854	Геотехнологий и строительства подземных сооружений 	2012
2245382	856	1	8171	ТулГУ	12559	Институт горного дела и строительства (бывш. Горно-строительный)	138300	ТКМГР	2003
226264218	0	0	0	0	0	0	0	0	0
228874068	0	0	0	0	0	0	0	0	0
229006543	0	0	0	0	0	0	0	0	0
229585071	0	0	0	0	0	0	0	0	0
229990607	0	0	0	0	0	0	0	0	0
23175544	0	0	0	0	0	0	0	0	0
231836631	0	0	0	0	0	0	0	0	0
235581193	0	0	0	0	0	0	0	0	0
236699959	0	0	0	0	0	0	0	0	0
239250099	0	0	0	0	0	0	0	0	0
239453325	351585	1	8171	МИЭП (ЩФ)	109586	Экономический	120672	Финансы и кредит	2015
241471299	0	0	0	0	0	0	0	0	0
24289505	856	1	1108923	ТулГУ	12559	Институт горного дела и строительства (бывш. Горно-строительный)	216854	Геотехнологий и строительства подземных сооружений 	2018
243726016	0	0	0	0	0	0	0	0	0
247819751	0	0	0	0	0	0	0	0	0
25022769	9332	1	1108923	РМАТ (ТФ)	58521	Менеджмент организации	0	0	2012
253128354	0	0	0	0	0	0	0	0	0
25361901	0	0	0	0	0	0	0	0	0
254712613	856	1	146	ТулГУ	12559	Институт горного дела и строительства (бывш. Горно-строительный)	216854	Геотехнологий и строительства подземных сооружений 	2014
2559200	856	1	146	ТулГУ	101653	Институт прикладной математики и компьютерных наук (бывш. Кибернетики, Механико-математический)	238543	Механики материалов	2010
257522782	0	0	0	0	0	0	0	0	0
258447313	0	0	0	0	0	0	0	0	0
259550002	0	0	0	0	0	0	0	0	0
26049185	57040	1	1108923	МЮИ (ТФ)	171813	Юриспруденция	0	0	0
26168499	233	1	1	МГИ НИТУ МИСИС (бывш. МГГУ)	931	Физико-технический	0	0	0
265654729	0	0	0	0	0	0	0	0	0
269823462	0	0	0	0	0	0	0	0	0
27123503	856	1	146	ТулГУ	104418	Институт права и управления (бывш. Экономики и менеджмента, Юридический)	226242	Гражданского права и процесса	2016
272316821	351585	1	8171	МИЭП (ЩФ)	109586	Экономический	235125	Менеджмент организации	0
278665313	0	0	0	0	0	0	0	0	0
28459360	269	1	1	НИЯУ МИФИ	1174	Экспериментальной и теоретической физики (Т)	2151	Прикладной математики (31)	2016
287044653	0	0	0	0	0	0	0	0	0
288498904	0	0	0	0	0	0	0	0	0
293033884	0	0	0	0	0	0	0	0	0
